datetime,actual,mean,naive,seasonal_naive,drift,sarimax,random_forest,gradient_boosting
2018-10-14,55.84894047619047,55.97639942528736,54.287059523809525,56.33339880952381,54.33513607804233,57.17071162493061,56.05671540680743,56.379582266598476
2018-10-21,55.762125,55.97639942528736,54.287059523809525,56.55730952380953,54.38321263227513,57.659010153560224,56.762887559561605,57.88631277365178
2018-10-28,58.684714285714286,55.97639942528736,54.287059523809525,57.687714285714286,54.43128918650794,57.87892760796289,57.39484616268124,57.54041413954382
2018-11-04,55.917589285714286,55.97639942528736,54.287059523809525,53.707708333333336,54.47936574074074,55.49235493665145,54.292429975779456,54.97706673769765
2018-11-11,58.16347023809524,55.97639942528736,54.287059523809525,59.21035714285715,54.52744229497355,60.384767514933976,58.04659334026533,59.03884455321565
2018-11-18,59.69608333333333,55.97639942528736,54.287059523809525,59.97938095238096,54.57551884920635,61.07712170267078,58.967582605462766,59.12069080224774
2018-11-25,61.55336309523809,55.97639942528736,54.287059523809525,60.69883333333333,54.623595403439154,61.16210569316989,60.08131369170914,61.87459510559038
2018-12-02,62.379154761904765,55.97639942528736,54.287059523809525,61.95860119047619,54.67167195767196,62.5688447519625,61.34389854228547,61.72938795790991
2018-12-09,62.32269047619047,55.97639942528736,54.287059523809525,63.12195833333334,54.71974851190476,63.13343094334531,59.35529327902498,60.42171367712389
2018-12-16,63.2435,55.97639942528736,54.287059523809525,62.71340476190476,54.76782506613757,62.580505437027384,61.59270116059621,62.05420661632269
2018-12-23,59.40855952380953,55.97639942528736,54.287059523809525,57.949869047619046,54.81590162037037,58.26151068376645,59.782772760728484,60.32611775185109
2018-12-30,49.07558333333333,55.97639942528736,54.287059523809525,48.223803571428576,54.863978174603176,49.401585125570634,50.47755300658025,53.046479749908436
2019-01-06,53.805875,55.97639942528736,54.287059523809525,54.85843452380953,54.912054728835976,58.26323810018124,55.39297637512282,53.89218010132231
2019-01-13,62.37220238095238,55.97639942528736,54.287059523809525,60.05204761904762,54.96013128306878,62.499501324309875,58.60129575393988,59.66979938619391
2019-01-20,62.423494047619045,55.97639942528736,54.287059523809525,61.86826785714285,55.00820783730159,63.09042026791147,61.48103608870464,62.21973278034268
2019-01-27,63.58701190476191,55.97639942528736,54.287059523809525,60.12823214285714,55.05628439153439,63.073616668012185,61.48101506734221,62.16063324506941
2019-02-03,62.088767857142855,55.97639942528736,54.287059523809525,60.81609523809524,55.1043609457672,62.48975848749703,61.34595937684244,62.01514762951559
2019-02-10,62.35953571428572,55.97639942528736,54.287059523809525,61.24415476190477,55.1524375,61.84376194906612,59.83553264216748,60.02145797622661
2019-02-17,60.79900595238095,55.97639942528736,54.287059523809525,60.73777380952381,55.200514054232805,61.65205517816287,59.53215931032698,60.17459437389645
2019-02-24,59.46751785714285,55.97639942528736,54.287059523809525,60.69296428571428,55.24859060846561,61.078986569974646,59.719259577999885,59.36019527716874
2019-03-03,58.48182142857143,55.97639942528736,54.287059523809525,63.44200595238095,55.29666716269841,61.37992239088486,58.74243917157511,59.43989187582497
2019-03-10,58.99095238095238,55.97639942528736,54.287059523809525,59.17857142857143,55.34474371693122,60.02178178724023,58.01761183123585,58.92947022995863
2019-03-17,60.07891071428572,55.97639942528736,54.287059523809525,60.88598809523809,55.39282027116402,59.953245933604364,58.29308934780504,59.510463758668884
2019-03-24,57.649363095238094,55.97639942528736,54.287059523809525,60.75360714285714,55.44089682539683,58.53343664836918,58.422240303488124,59.76939510568203
2019-03-31,56.77151190476191,55.97639942528736,54.287059523809525,55.40161904761904,55.48897337962963,55.92080603138604,55.411649221957646,55.05294106278838
2019-04-07,56.43385714285714,55.97639942528736,54.287059523809525,54.534148809523806,55.537049933862434,56.11321516557361,55.19756661488092,54.576189988186314
2019-04-14,56.76597023809524,55.97639942528736,54.287059523809525,56.09988095238096,55.58512648809524,55.490683804791104,55.54442022448504,55.122796895310316
2019-04-21,51.65626190476191,55.97639942528736,54.287059523809525,54.43427380952381,55.63320304232804,55.07924949852538,55.15896567083805,54.84664520839245
2019-04-28,52.33675,55.97639942528736,54.287059523809525,55.34271428571428,55.68127959656085,56.90467471497305,55.077387238817984,54.109044614958606
2019-05-05,53.123172619047615,55.97639942528736,54.287059523809525,52.81313690476191,55.72935615079365,53.76926516368794,53.70253290821046,52.66777808783697
2019-05-12,56.02357738095238,55.97639942528736,54.287059523809525,52.85682142857143,55.777432705026456,54.52950156367752,53.715456626266004,53.23760642606133
2019-05-19,55.28559523809524,55.97639942528736,54.287059523809525,55.369166666666665,55.825509259259256,54.829864709623614,54.995676242063475,55.5885383737148
2019-05-26,54.94535119047619,55.97639942528736,54.287059523809525,53.64008928571428,55.87358581349206,52.68261945362727,54.1404846568452,54.16263058724023
2019-06-02,51.30880357142857,55.97639942528736,54.287059523809525,53.98164880952381,55.92166236772487,54.12797160572663,54.9381940913596,55.46540242159859
2019-06-09,54.52816071428572,55.97639942528736,54.287059523809525,56.448547619047616,55.96973892195767,56.5027422293699,55.5194135422052,56.1673303801775
2019-06-16,52.28670833333334,55.97639942528736,54.287059523809525,55.91553571428572,56.01781547619048,57.143881797459755,55.265935428817116,54.618680500677634
2019-06-23,52.54121428571428,55.97639942528736,54.287059523809525,56.29283928571428,56.06589203042328,57.39213787924296,55.13179216211738,55.81518959915092
2019-06-30,55.95528571428572,55.97639942528736,54.287059523809525,55.683684523809525,56.113968584656085,58.162397372764886,54.9555636988237,55.58769449660207
2019-07-07,55.17963095238096,55.97639942528736,54.287059523809525,55.95719642857143,56.162045138888885,55.87421138635947,55.29342957993668,55.84457898907221
2019-07-14,53.908166666666666,55.97639942528736,54.287059523809525,53.87878571428572,56.21012169312169,54.90677942465888,54.57943238828889,53.61813324953091
2019-07-21,53.511964285714285,55.97639942528736,54.287059523809525,53.46576785714286,56.2581982473545,54.60290537806782,54.35947660989224,54.55861633794236
2019-07-28,54.20710119047619,55.97639942528736,54.287059523809525,55.10847619047619,56.3062748015873,55.878798323440726,54.835340274669264,55.269309582093946
2019-08-04,52.39210119047619,55.97639942528736,54.287059523809525,54.96707738095238,56.35435135582011,54.4196722191569,54.69987066083707,54.865994691836754
2019-08-11,52.01905357142857,55.97639942528736,54.287059523809525,54.29031547619047,56.40242791005291,54.60212770271606,54.04222478779759,54.35890087803326
2019-08-18,51.15523809523809,55.97639942528736,54.287059523809525,53.30570238095238,56.450504464285714,53.42360187192532,53.48758634249806,53.35807021394425
2019-08-25,51.83813095238095,55.97639942528736,54.287059523809525,54.65057142857143,56.49858101851852,55.363774864380666,54.48967352697466,54.89536323146966
2019-09-01,54.09197023809524,55.97639942528736,54.287059523809525,54.58705357142857,56.54665757275132,57.003564266289146,54.32061803191436,54.42060700636933
2019-09-08,52.44316071428572,55.97639942528736,54.287059523809525,54.90651190476191,56.59473412698413,54.56321144353704,54.8642600725151,54.98673463770081
2019-09-15,53.34848809523809,55.97639942528736,54.287059523809525,55.12004761904762,56.64281068121693,54.75446223676639,54.82850912417799,55.358712946151584
2019-09-22,53.22254761904762,55.97639942528736,54.287059523809525,56.60389285714285,56.690887235449736,55.272681620146905,56.59856034821901,57.92047391668873
2019-09-29,54.82947619047619,55.97639942528736,54.287059523809525,56.12404166666666,56.738963789682536,56.11513521503419,55.2826057036281,55.80213969586653
